"timestamp_str","user_id","asset","amount_str","amount_eur_str","transaction_type"
"2023-08-11T09:30:00","3d94365b-00ae-4bca-a28e-381d20e98a52",,,"100000.00","deposit"
"2023-08-11T09:45:00","18a565ac-d83d-453b-b1cf-bb71eb5a5699",,,"100000.00","deposit"
"2023-08-11T08:15:00","91912e64-e15e-4ed2-86eb-afd800780cba",,,"100000.00","deposit"
"2023-08-11T09:20:00","e8c9fa08-845c-4e51-b147-e7ecb118b447",,,"100000.00","deposit"
"2023-08-11T08:55:00","33dfab69-dfe4-4a77-abd1-ccc764c7e73d",,,"100000.00","deposit"
"2023-08-11T09:10:00","4ff5bccc-a59e-44f2-afc5-d0408549c341",,,"100000.00","deposit"
"2023-08-11T08:05:00","2ac5e82a-c43d-4e82-97f6-4982c6c68b51",,,"100000.00","deposit"
"2023-08-11T09:40:00","8cf67430-3002-4040-9d9e-cb3517f7d4c8",,,"100000.00","deposit"
"2023-08-11T08:25:00","8e6c160e-2a65-43cb-931d-d1135c965b4e",,,"100000.00","deposit"
"2023-08-11T09:55:00","3a596779-2e97-485f-802f-c06433fab968",,,"100000.00","deposit"
"2023-08-11T09:30:00","3d94365b-00ae-4bca-a28e-381d20e98a52","Item 1","100","-90.00","trade"
"2023-08-11T09:45:00","18a565ac-d83d-453b-b1cf-bb71eb5a5699","Item 2","200","-180.00","trade"
"2023-08-11T08:15:00","91912e64-e15e-4ed2-86eb-afd800780cba","Item 3","-150","135.00","trade"
"2023-08-11T09:20:00","e8c9fa08-845c-4e51-b147-e7ecb118b447","Item 4","-250","225.00","trade"
"2023-08-11T08:55:00","33dfab69-dfe4-4a77-abd1-ccc764c7e73d","Item 5","300","-270.00","trade"
"2023-08-11T09:10:00","4ff5bccc-a59e-44f2-afc5-d0408549c341","Item 1","350","-315.00","trade"
"2023-08-11T08:05:00","2ac5e82a-c43d-4e82-97f6-4982c6c68b51","Item 2","400","-360.00","trade"
"2023-08-11T09:40:00","8cf67430-3002-4040-9d9e-cb3517f7d4c8","Item 3","-450","405.00","trade"
"2023-08-11T08:25:00","8e6c160e-2a65-43cb-931d-d1135c965b4e","Item 4","-500","450.00","trade"
"2023-08-11T09:55:00","3a596779-2e97-485f-802f-c06433fab968","Item 5","-550","495.00","trade"
"2023-08-11T08:00:00","3d94365b-00ae-4bca-a28e-381d20e98a52","Item 1","600","-540.00","trade"
"2023-08-11T08:35:00","18a565ac-d83d-453b-b1cf-bb71eb5a5699","Item 2","650","-585.00","trade"
"2023-08-11T09:05:00","91912e64-e15e-4ed2-86eb-afd800780cba","Item 3","700","-630.00","trade"
"2023-08-11T08:50:00","e8c9fa08-845c-4e51-b147-e7ecb118b447","Item 4","750","-675.00","trade"
"2023-08-11T08:30:00","33dfab69-dfe4-4a77-abd1-ccc764c7e73d","Item 5","-800","720.00","trade"
"2023-08-11T09:05:00","4ff5bccc-a59e-44f2-afc5-d0408549c341","Item 5","-850","765.00","trade"
"2023-08-11T09:15:00","2ac5e82a-c43d-4e82-97f6-4982c6c68b51","Item 1","900","-810.00","trade"
"2023-08-11T09:40:00","8cf67430-3002-4040-9d9e-cb3517f7d4c8","Item 2","950","-855.00","trade"
"2023-08-11T08:50:00","8e6c160e-2a65-43cb-931d-d1135c965b4e","Item 3","-1000","900.00","trade"
"2023-08-11T09:15:00","3a596779-2e97-485f-802f-c06433fab968","Item 5","1050","-945.00","trade"
